acousticness,added_at,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,name,popularity,preview_url,speechiness,tempo,time_signature,track_img,valence
0.835,12/5/16,eli filosov [ p h i l o ],0.534,91429,0.426,0.311,9,0.157,-13.144,oneofone_rwrk,44,https://p.scdn.co/mp3-preview/ac79adb3e5d10cd3eade797d5e844b8fd6597e17?cid=930456c642564135939390fde3dd06bf,0.58,83.758,4,https://i.scdn.co/image/bf6fa6343d6d49b4b8adb620ce5476160312f66b,0.194
0.614,12/5/16,Sylvan Esso,0.566,212012,0.878,0.0367,0,0.235,-6.798,Radio,62,https://p.scdn.co/mp3-preview/50e2292c3b0428e5357356b30471a4290c2a517e?cid=930456c642564135939390fde3dd06bf,0.0339,120.017,4,https://i.scdn.co/image/e4abb1cfab7f094af9294bee48fdc6dc2701a53b,0.573
0.0684,12/3/16,Mumford & Sons,0.403,280653,0.599,0.00327,0,0.352,-8.217,Dust Bowl Dance,42,https://p.scdn.co/mp3-preview/5f9d225816969d1216d9cd9e4c1498931f5bbf05?cid=930456c642564135939390fde3dd06bf,0.0454,113.257,4,https://i.scdn.co/image/484425fbb5e7e1e6351b83cac8f964d2df8d5613,0.35
0.38,12/3/16,I The Ai,0.732,223125,0.573,0.00012,1,0.109,-8.872,Revolver (I the Ai Remix),50,https://p.scdn.co/mp3-preview/8ba7de16384734496d256a421ef802a2b17787a0?cid=930456c642564135939390fde3dd06bf,0.0779,90.017,4,https://i.scdn.co/image/50333cdceb0c61c0e2e4a383b51416a345bd95bc,0.57
0.26,12/2/16,Generationals,0.753,200213,0.9,0.000102,11,0.165,-1.866,"When They Fight, They Fight",62,https://p.scdn.co/mp3-preview/dea4a3d0d85e22c69db4c5b4d30850bf94739a6f?cid=930456c642564135939390fde3dd06bf,0.0322,119.72,4,https://i.scdn.co/image/411b3245bca2e45c3cdcea97c0377eae021b1a4a,0.967
0.00711,12/2/16,Galantis,0.506,227074,0.805,0.00193,1,0.0856,-4.119,Runaway (U & I),78,https://p.scdn.co/mp3-preview/c1024d02ec15b93fe218692fb9ad23c5bad3e1aa?cid=930456c642564135939390fde3dd06bf,0.0469,126.008,4,https://i.scdn.co/image/95659045e6271cd2ca07e0ba1176ad6ce24d7ce7,0.385
0.00442,12/2/16,Madison Mars,0.442,211607,0.892,0.381,1,0.04,-2.762,Doppler,58,https://p.scdn.co/mp3-preview/8b66fb04b11411078808512330fd77568b57d464?cid=930456c642564135939390fde3dd06bf,0.0614,125.869,4,https://i.scdn.co/image/ec6b272d0fe27627d75e49c42a129af561d7e3f8,0.206
0.0153,12/1/16,Bleeding Rainbow,0.292,231893,0.896,0.694,0,0.104,-5.817,Wasting Time,20,https://p.scdn.co/mp3-preview/bcfd6e26f605aea5d74e4b57b5e3fa0e295ebb61?cid=930456c642564135939390fde3dd06bf,0.0345,173.466,4,https://i.scdn.co/image/ae79173d8e3fe0f5cbbb2c77d0fe61f23f40f4d6,0.734
0.195,12/1/16,Matthew Wilder,0.917,184480,0.588,0,10,0.0914,-11.047,Break My Stride,57,https://p.scdn.co/mp3-preview/06ba33dcbe01b55115404c7b1436d689833da424?cid=930456c642564135939390fde3dd06bf,0.0607,110.077,4,https://i.scdn.co/image/ea64e0167956cbf74c8f7e1569cc876f7625942d,0.819
0.0559,12/1/16,Cults,0.521,182160,0.851,0,2,0.267,-3.235,Never Saw The Point,25,https://p.scdn.co/mp3-preview/6a7d462f2e45cb497bbc748f87189c3d8b9fe92f?cid=930456c642564135939390fde3dd06bf,0.0336,130.032,4,https://i.scdn.co/image/b060fff22190c9c48a044fee86a4e315422e4cd4,0.825
